lattice diameter Temperature    PS
100.00    19.87   546.15   200.00
t(s)      gC/gcat/min     nm/s       CXFNum     coverage
3.80612     0.00024     0.00319     0.00000     0.00000
7.90428     0.00022     0.00297     0.00000     0.00000
11.63152     0.00023     0.00299     0.00000     0.00000
16.14779     0.00021     0.00282     0.00000     0.00000
20.27497     0.00021     0.00278     0.00000     0.00000
23.80528     0.00021     0.00281     0.00000     0.00000
27.70631     0.00021     0.00284     0.00000     0.00000
31.57901     0.00021     0.00282     0.00000     0.00000
35.93295     0.00021     0.00277     0.00000     0.00000
39.95567     0.00021     0.00275     0.00000     0.00000
44.10793     0.00021     0.00273     0.00000     0.00000
47.10565     0.00021     0.00280     0.00000     0.00000
50.20731     0.00021     0.00285     0.00000     0.00000
54.51435     0.00021     0.00283     0.00000     0.00000
57.66540     0.00022     0.00288     0.00000     0.00000
61.48214     0.00022     0.00288     0.00000     0.00000
65.51282     0.00022     0.00286     0.00000     0.00000
70.16991     0.00021     0.00284     0.00000     0.00000
74.15696     0.00021     0.00284     0.00000     0.00000
78.41073     0.00021     0.00282     0.00000     0.00000
82.21630     0.00021     0.00282     0.00000     0.00000
85.23604     0.00022     0.00286     0.00000     0.00000
88.18017     0.00022     0.00290     0.00000     0.00000
92.59132     0.00022     0.00287     0.00000     0.00000
96.25614     0.00022     0.00287     0.00000     0.00000
99.40281     0.00022     0.00290     0.00000     0.00000
103.50342     0.00022     0.00290     0.00000     0.00000
107.95713     0.00022     0.00287     0.00000     0.00000
111.82720     0.00022     0.00288     0.00000     0.00000
115.66321     0.00022     0.00288     0.00000     0.00000
119.42024     0.00022     0.00288     0.00000     0.00000
122.49528     0.00022     0.00291     0.00000     0.00000
125.88333     0.00022     0.00292     0.00000     0.00000
129.52129     0.00022     0.00292     0.00000     0.00000
133.76117     0.00022     0.00291     0.00000     0.00000
137.91453     0.00022     0.00290     0.00000     0.00000
141.21530     0.00022     0.00291     0.00000     0.00000
144.21547     0.00022     0.00293     0.00000     0.00000
148.04397     0.00022     0.00292     0.00000     0.00000
152.29208     0.00022     0.00292     0.00000     0.00000
156.32246     0.00022     0.00291     0.00000     0.00000
161.21386     0.00022     0.00289     0.00000     0.00000
164.79247     0.00022     0.00290     0.00000     0.00000
169.11778     0.00022     0.00289     0.00000     0.00000
172.62047     0.00022     0.00289     0.00000     0.00000
176.58584     0.00022     0.00289     0.00000     0.00000
180.42276     0.00022     0.00289     0.00000     0.00000
183.75320     0.00022     0.00290     0.00000     0.00000
187.46843     0.00022     0.00290     0.00000     0.00000
191.08887     0.00022     0.00290     0.00000     0.00000
194.58279     0.00022     0.00291     0.00000     0.00000
198.52923     0.00022     0.00290     0.00000     0.00000
202.08948     0.00022     0.00291     0.00000     0.00000
205.94556     0.00022     0.00291     0.00000     0.00000
209.89149     0.00022     0.00291     0.00000     0.00000
213.08499     0.00022     0.00292     0.00000     0.00000
216.84965     0.00022     0.00291     0.00000     0.00000
220.68939     0.00022     0.00292     0.00000     0.00000
224.54131     0.00022     0.00291     0.00000     0.00000
228.92408     0.00022     0.00291     0.00000     0.00000
233.26330     0.00022     0.00290     0.00000     0.00000
238.20076     0.00022     0.00289     0.00000     0.00000
242.40745     0.00022     0.00288     0.00000     0.00000
246.82881     0.00022     0.00287     0.00000     0.00000
250.46807     0.00022     0.00288     0.00000     0.00000
254.68120     0.00022     0.00287     0.00000     0.00000
258.12190     0.00022     0.00288     0.00000     0.00000
262.32833     0.00022     0.00287     0.00000     0.00000
265.79238     0.00022     0.00288     0.00000     0.00000
270.08598     0.00022     0.00287     0.00000     0.00000
