lattice diameter Temperature    PS
150.00    29.80   923.15 10000000.00
t(s)      gC/gcat/min     nm/s       CXFNum     coverage
7.928e-06     9.78394   292.07484     0.00000   0.000e+00
1.165e-05     8.32303   248.46293     0.00000   0.000e+00
1.454e-05    10.00518   298.67940     0.00000   0.000e+00
1.687e-05    10.91790   325.92619     0.00000   0.000e+00
1.891e-05    10.25375   306.09966     0.00000   0.000e+00
2.077e-05    10.27211   306.64796     0.00000   0.000e+00
2.273e-05     9.38337   280.11675     0.00000   0.000e+00
2.481e-05     8.98956   268.36066     0.00000   4.444e-05
2.692e-05     8.64408   258.04707     0.00000   4.444e-05
2.900e-05     8.35890   249.53372     0.00000   0.000e+00
3.106e-05     8.11650   242.29769     0.00000   0.000e+00
3.321e-05     7.88346   235.34091     0.00000   0.000e+00
3.534e-05     7.68287   229.35270     0.00000   0.000e+00
3.750e-05     7.23957   216.11907     0.00000   0.000e+00
3.954e-05     7.60106   226.91037     0.00000   0.000e+00
4.154e-05     7.93630   236.91808     0.00000   0.000e+00
4.343e-05     7.81434   233.27721     0.00000   0.000e+00
4.537e-05     7.47936   223.27730     0.00000   0.000e+00
4.739e-05     7.36542   219.87604     0.00000   0.000e+00
4.946e-05     7.44971   222.39234     0.00000   0.000e+00
5.141e-05     7.54477   225.22993     0.00000   0.000e+00
5.331e-05     7.45782   222.63445     0.00000   4.444e-05
5.508e-05     7.56971   225.97468     0.00000   0.000e+00
5.700e-05     7.31464   218.36005     0.00000   0.000e+00
5.902e-05     7.06417   210.88283     0.00000   0.000e+00
6.104e-05     6.98965   208.65828     0.00000   0.000e+00
6.282e-05     7.09999   211.95219     0.00000   0.000e+00
6.455e-05     7.05965   210.74794     0.00000   0.000e+00
6.621e-05     7.17591   214.21872     0.00000   0.000e+00
6.790e-05     7.14000   213.14670     0.00000   0.000e+00
6.967e-05     6.95873   207.73529     0.00000   0.000e+00
7.145e-05     6.78517   202.55397     0.00000   0.000e+00
7.327e-05     6.74873   201.46613     0.00000   0.000e+00
7.501e-05     6.85067   204.50931     0.00000   0.000e+00
7.670e-05     6.82617   203.77803     0.00000   0.000e+00
7.838e-05     6.80384   203.11136     0.00000   4.444e-05
8.004e-05     6.78380   202.51305     0.00000   4.444e-05
8.170e-05     6.76443   201.93481     0.00000   0.000e+00
8.339e-05     6.74373   201.31702     0.00000   0.000e+00
8.516e-05     6.60369   197.13635     0.00000   0.000e+00
8.712e-05     6.45555   192.71403     0.00000   0.000e+00
8.904e-05     6.53390   195.05300     0.00000   8.889e-05
9.069e-05     6.73573   201.07828     0.00000   4.444e-05
9.222e-05     6.83401   204.01223     0.00000   4.444e-05
9.369e-05     7.03720   210.07774     0.00000   0.000e+00
9.520e-05     7.02739   209.78502     0.00000   0.000e+00
9.676e-05     7.01484   209.41032     0.00000   0.000e+00
9.840e-05     6.89759   205.91019     0.00000   0.000e+00
1.001e-04     6.87537   205.24665     0.00000   0.000e+00
1.019e-04     6.75415   201.62815     0.00000   0.000e+00
1.040e-04     6.62216   197.68794     0.00000   0.000e+00
1.057e-04     7.15413   213.56858     0.00000   0.000e+00
1.075e-04     7.03586   210.03773     0.00000   0.000e+00
1.094e-04     6.91034   206.29086     0.00000   0.000e+00
1.112e-04     6.97378   208.18463     0.00000   4.444e-05
1.131e-04     6.94410   207.29860     0.00000   4.444e-05
1.151e-04     6.90858   206.23828     0.00000   0.000e+00
1.171e-04     6.95760   207.70169     0.00000   0.000e+00
1.188e-04     7.01769   209.49550     0.00000   0.000e+00
1.207e-04     6.91101   206.31070     0.00000   0.000e+00
1.225e-04     6.88889   205.65039     0.00000   0.000e+00
1.242e-04     6.95055   207.49116     0.00000   4.444e-05
1.260e-04     6.92756   206.80476     0.00000   0.000e+00
1.280e-04     6.81945   203.57748     0.00000   0.000e+00
1.300e-04     6.86207   204.84966     0.00000   0.000e+00
1.318e-04     6.83947   204.17510     0.00000   0.000e+00
1.337e-04     6.74384   201.32016     0.00000   4.444e-05
1.354e-04     6.87465   205.22529     0.00000   0.000e+00
1.372e-04     6.78631   202.58810     0.00000   0.000e+00
1.390e-04     6.76516   201.95678     0.00000   0.000e+00
1.409e-04     6.74336   201.30606     0.00000   4.444e-05
1.426e-04     6.79844   202.95021     0.00000   0.000e+00
1.444e-04     6.71293   200.39758     0.00000   0.000e+00
1.463e-04     6.69446   199.84631     0.00000   4.444e-05
1.481e-04     6.74458   201.34235     0.00000   0.000e+00
1.500e-04     6.72101   200.63869     0.00000   0.000e+00
1.521e-04     6.62941   197.90425     0.00000   0.000e+00
1.541e-04     6.67053   199.13176     0.00000   0.000e+00
1.560e-04     6.58760   196.65615     0.00000   0.000e+00
1.579e-04     6.63260   197.99948     0.00000   4.444e-05
1.597e-04     6.67697   199.32399     0.00000   0.000e+00
1.616e-04     6.72120   200.64443     0.00000   0.000e+00
1.636e-04     6.63731   198.14022     0.00000   0.000e+00
1.659e-04     6.54782   195.46856     0.00000   0.000e+00
1.679e-04     6.63976   198.21316     0.00000   0.000e+00
